131	ハールーンの戦賛歌	Hurloon Battle Hymn
132	奈落のとりこ	In Thrall to the Pit
133	焦熱の交渉人、ヤヤ	Jaya, Fiery Negotiator
134	ヤヤの火災旋風	Jaya's Firenado
135	ケルドの炎賢者	Keldon Flamesage
136	ケルドの急襲隊	Keldon Strike Team
137	稲妻の一撃	Lightning Strike
138	メリアの先導	Meria's Outrider
139	溶鉄の大怪物	Molten Monstrosity
140	フェニックスの雛	Phoenix Chick
141	ラーダの扇動者	Radha's Firebrand
142	ランドヴェルトの大群率い	Rundvelt Hordemaster
143	シヴの壊滅者	Shivan Devastator
144	塵と化す	Smash to Dust
145	芽吹くゴブリン	Sprouting Goblin
146	怪しげな統治者、スクイー	Squee, Dubious Monarch
147	時の火炎嵐	Temporal Firestorm
148	胸躍る可能性	Thrill of Possibility
149	双業火	Twinferno
150	ヴィーアシーノの枝乗り	Viashino Branchrider
151	戦元の熱狂	Warhost's Frenzy
152	ヤヴィマヤの鋼潰し	Yavimaya Steelcrusher
153	ヨーティアの宣戦布告	Yotia Declares War
154	樹皮織りの破壊者	Barkweave Crusher
155	噛み締め	Bite Down
156	沼アナグマ	Bog Badger
157	壊れた翼	Broken Wings
158	壮大な成長	Colossal Growth
159	死花の庭師	Deathbloom Gardener
160	活力を穢すもの	Defiler of Vigor
161	エルフェイムのワーム	Elfhame Wurm
162	エルフの水流術師	Elvish Hydromancer
163	花咲く蔦壁	Floriferous Vinewall
164	ガイアの力	Gaea's Might
165	群れの渡り	Herd Migration
166	呪詛消しの亀	Hexbane Tortoise
167	葉冠の幻想家	Leaf-Crowned Visionary
168	戦線破りのベイロス	Linebreaker Baloth
169	ラノワールの緑後家蜘蛛	Llanowar Greenwidow
170	ラノワールの壌土語り	Llanowar Loamspeaker
171	ラノワールの追跡者	Llanowar Stalker
172	マグニゴスの歩哨	Magnigoth Sentry
173	古き苔髭	Mossbeard Ancient
174	ニショーバの喧嘩屋	Nishoba Brawler
175	クウィリーオンの獣呼び	Quirion Beastcaller
176	荒野の偵察	Scout the Wilderness
177	シルバーバックの古老	Silverback Elder
178	スライムフットの調査	Slimefoot's Survey
179	罠紡ぎ	Snarespinner
180	連合の力	Strength of the Coalition
181	日光浴するルートワラ	Sunbathing Rootwalla
182	尾の強打	Tail Swipe
183	羅利骨灰	Tear Asunder
184	属地のマロー	Territorial Maro
185	未発見の脅威	Threats Undetected
186	アーボーグのルアゴイフ	Urborg Lhurgoyf
187	蔦形成師の神童	Vineshaper Prodigy
188	ウェザーシード盟約	The Weatherseed Treaty
189	世界呪文	The World Spell
190	ヤヴィマヤの偶像破壊者	Yavimaya Iconoclast
191	ヤヴィマヤの滞留者	Yavimaya Sojourner
192	潜伏工作員、アジャニ	Ajani, Sleeper Agent
193	ベナリアの堕落者、アロン	Aron, Benalia's Ruin
194	刃を持つ者、アスター	Astor, Bearer of Blades
195	アルガイヴの徴募人、ベイルド	Baird, Argivian Recruiter
196	戦闘魔道士の隊長、バルモア	Balmor, Battlemage Captain
197	ガリ骨のボータック	Bortuk Bonerattle
198	残忍な巡礼者、コー追われのエラス	Elas il-Kor, Sadistic Pilgrim
199	復活したアーテイ	Ertai Resurrected
200	ケルドの血拳、ガルナ	Garna, Bloodfist of Keld
201	陽気な呪文盗み、アイヴィー	Ivy, Gleeful Spellthief
202	老いざる革新者、ジョイラ	Jhoira, Ageless Innovator
203	統べるもの、ジョダー	Jodah, the Unifier
204	国王ダリアン四十八世	King Darien XLVIII
205	憎悪の手、ラゴモス	Lagomos, Hand of Hatred
206	古代学者、メリア	Meria, Scholar of Antiquity
207	エイヴィーゾアの空士、ナエル	Nael, Avizoa Aeronaut
208	嵐の走者、ナジャル	Najal, the Storm Runner
209	太古の番人、ネマタ	Nemata, Primeval Warden
210	ルアダッハの女王オーリナル	Queen Allenal of Ruadach
211	連合の大将軍、ラーダ	Radha, Coalition Warlord
212	ウェザーライトの重鎮、ラフ	Raff, Weatherlight Stalwart
213	アーボーグのラタドラビック	Ratadrabik of Urborg
214	解放されし太古、リース	Rith, Liberated Primeval
215	爪のライヴァズ	Rivaz of the Claw
216	シェオルドレッドの心酔者、ローナ	Rona, Sheoldred's Faithful
217	巣穴の長、ルリク・モンス	Rulik Mons, Warren Chief
218	浄化の刃、シャナ	Shanna, Purifying Blade
219	穢れたもの、ソルカナー	Sol'Kanar the Tainted
220	ウィンドグレイスの魂	Soul of Windgrace
221	偏執的な援護者、ステン	Stenn, Paranoid Partisan
222	潮に仕えるもの、タトヨヴァ	Tatyova, Steward of Tides
223	憤怒の乗り手、アヴナントのトーリ	Tori D'Avenant, Fury Rider
224	空騎士、トゥーラ・ケネルッド	Tura Kennerud, Skyknight
225	トゥーグの落とし子、ウゥーグ	Uurg, Spawn of Turg
226	ヴォーデイリアの冒涜者、ヴォハー	Vohar, Vodalian Desecrator
227	エフラヴァの末裔、ザー・オジャネン	Zar Ojanen, Scion of Efrava
228	永遠の策謀家、ズアー	Zur, Eternal Schemer
229	自動司書	Automatic Librarian
230	金色の大帆船	Golden Argosy
231	英雄の家宝	Hero's Heirloom
232	刻まれたタブレット	Inscribed Tablet
233	ジョダーの写本	Jodah's Codex
234	カーンの酒杯	Karn's Sylex
235	隕石	Meteorite
236	伝説の秘宝	Relic of Legends
237	発掘されたマナ労働機	Salvaged Manaworker
238	盾壁の歩哨	Shield-Wall Sentinel
239	永久の水蓮	Timeless Lotus
240	勝者の斧	Vanquisher's Axe
241	歩く防壁	Walking Bulwark
242	完成化したウェザーライト	Weatherlight Compleated
243	アダーカー荒原	Adarkar Wastes
244	コイロスの洞窟	Caves of Koilos
245	汚染された帯水層	Contaminated Aquifer
246	水晶の岩屋	Crystal Grotto
247	地熱の沼	Geothermal Bog
248	憑依されたぬかるみ	Haunted Mire
249	理想的な浜方	Idyllic Beachfront
250	カープルーザンの森	Karplusan Forest
251	溶鉄の支流	Molten Tributary
252	英雄の公有地	Plaza of Heroes
253	光輝の木立ち	Radiant Grove
254	聖なる峰	Sacred Peaks
255	シヴの浅瀬	Shivan Reef
256	硫黄泉	Sulfurous Springs
257	日向の湿地	Sunlit Marsh
258	絡みつく島嶼域	Tangled Islet
259	スランの門	Thran Portal
260	樹木茂る尾根	Wooded Ridgeline
261	ヤヴィマヤの沿岸	Yavimaya Coast
262	平地	Plains (262)
263		Plains (263)
264		Plains (264)
265	島	Island (265)
266		Island (266)
267		Island (267)
268	沼	Swamp (268)
269		Swamp (269)
270		Swamp (270)
271	山	Mountain (271)
272		Mountain (272)
273		Mountain (273)
274	森	Forest (274)
275		Forest (275)
276		Forest (276)
277		Plains (Showcase)
278		Island (Showcase)
279		Swamp (Showcase)
280		Mountain (Showcase)
281		Forest (Showcase)
282	セラの救い手	Serra Redeemer
283	星界の天啓	Cosmic Epiphany
